mfl_id,mfl_name,player,pos,team
0501,"Bills, Buffalo",bills defense,DST,BUF
0502,"Colts, Indianapolis",colts defense,DST,IND
0503,"Dolphins, Miami",dolphins defense,DST,MIA
0504,"Patriots, New England",patriots defense,DST,NEP
0505,"Jets, New York",jets defense,DST,NYJ
0506,"Bengals, Cincinnati",bengals defense,DST,CIN
0507,"Browns, Cleveland",browns defense,DST,CLE
0508,"Titans, Tennessee",titans defense,DST,TEN
0509,"Jaguars, Jacksonville",jaguars defense,DST,JAC
0510,"Steelers, Pittsburgh",steelers defense,DST,PIT
0511,"Broncos, Denver",broncos defense,DST,DEN
0512,"Chiefs, Kansas City",chiefs defense,DST,KCC
0513,"Raiders, Las Vegas",raiders defense,DST,LVR
0514,"Chargers, Los Angeles",chargers defense,DST,LAC
0515,"Seahawks, Seattle",seahawks defense,DST,SEA
0516,"Cowboys, Dallas",cowboys defense,DST,DAL
0517,"Giants, New York",giants defense,DST,NYG
0518,"Eagles, Philadelphia",eagles defense,DST,PHI
0519,"Cardinals, Arizona",cardinals defense,DST,ARI
0520,"FootballTeam, Washington",footballteam defense,DST,WAS
0521,"Bears, Chicago",bears defense,DST,CHI
0522,"Lions, Detroit",lions defense,DST,DET
0523,"Packers, Green Bay",packers defense,DST,GBP
0524,"Vikings, Minnesota",vikings defense,DST,MIN
0525,"Buccaneers, Tampa Bay",buccaneers defense,DST,TBB
0526,"Falcons, Atlanta",falcons defense,DST,ATL
0527,"Panthers, Carolina",panthers defense,DST,CAR
0528,"Rams, Los Angeles",rams defense,DST,LAR
0529,"Saints, New Orleans",saints defense,DST,NOS
0530,"49ers, San Francisco",49ers defense,DST,SFO
0531,"Ravens, Baltimore",ravens defense,DST,BAL
0532,"Texans, Houston",texans defense,DST,HOU
2842,"Vinatieri, Adam",adam vinatieri,K,FA
4397,"Nix, Roosevelt",roosevelt nix,RB,FA
4925,"Brees, Drew",drew brees,QB,NOS
5848,"Brady, Tom",tom brady,QB,TBB
6589,"McCown, Josh",josh mccown,QB,HOU
6789,"Bryant, Matt",matt bryant,K,FA
6997,"Witten, Jason",jason witten,TE,FA
7391,"Manning, Eli",eli manning,QB,FA
7393,"Fitzgerald, Larry",larry fitzgerald,WR,ARI
7394,"Rivers, Philip",philip rivers,QB,FA
7401,"Roethlisberger, Ben",ben roethlisberger,QB,PIT
7422,"Watson, Ben",ben watson,TE,FA
7480,"Schaub, Matt",matt schaub,QB,FA
7813,"Smith, Alex",alex smith,QB,WAS
7836,"Rodgers, Aaron",aaron rodgers,QB,GBP
7859,"Nugent, Mike",mike nugent,K,ARI
7877,"Gore, Frank",frank gore,RB,NYJ
7942,"Sproles, Darren",darren sproles,RB,FA
8062,"Fitzpatrick, Ryan",ryan fitzpatrick,QB,MIA
8153,"Gould, Robbie",robbie gould,K,SFO
8247,"Davis, Vernon",vernon davis,TE,FA
8269,"Lewis, Marcedes",marcedes lewis,TE,GBP
8359,"Gostkowski, Stephen",stephen gostkowski,K,TEN
8416,"Walker, Delanie",delanie walker,TE,FA
8658,"Peterson, Adrian",adrian peterson,RB,DET
8670,"Lynch, Marshawn",marshawn lynch,RB,FA
8673,"Ginn Jr., Ted",ted ginn,WR,FA
8687,"Olsen, Greg",greg olsen,TE,FA
8712,"Stanton, Drew",drew stanton,QB,FA
8742,"Crosby, Mason",mason crosby,K,GBP
8851,"Folk, Nick",nick folk,K,NEP
8930,"Prater, Matt",matt prater,K,DET
8944,"Moore, Matt",matt moore,QB,KCC
9064,"Flacco, Joe",joe flacco,QB,NYJ
9073,"Henne, Chad",chad henne,QB,KCC
9075,"Jackson, DeSean",desean jackson,WR,PHI
9099,"Ryan, Matt",matt ryan,QB,ATL
9200,"Slater, Matt",matt slater,WR,NEP
9250,"Garcon, Pierre",pierre garcon,WR,FA
9308,"Amendola, Danny",danny amendola,WR,DET
9319,"Hauschka, Steven",steven hauschka,K,FA
9427,"Crabtree, Michael",michael crabtree,WR,FA
9431,"Stafford, Matthew",matthew stafford,QB,LAR
9441,"Harvin, Percy",percy harvin,WR,FA
9448,"McCoy, LeSean",lesean mccoy,RB,TBB
9474,"Cook, Jared",jared cook,TE,NOS
9525,"Wallace, Mike",mike wallace,WR,FA
9662,"Edelman, Julian",julian edelman,WR,NEP
9686,"Succop, Ryan",ryan succop,K,TBB
9694,"Gano, Graham",graham gano,K,NYG
9706,"Daniel, Chase",chase daniel,QB,DET
9714,"Hoyer, Brian",brian hoyer,QB,NEP
9817,"Bradford, Sam",sam bradford,QB,FA
9823,"Bryant, Dez",dez bryant,WR,BAL
9831,"Tate, Golden",golden tate,WR,NYG
9843,"LaFell, Brandon",brandon lafell,WR,FA
9884,"Thomas, Demaryius",demaryius thomas,WR,FA
9898,"Blount, LeGarrette",legarrette blount,RB,FA
9899,"McCoy, Colt",colt mccoy,QB,NYG
9902,"Gronkowski, Rob",rob gronkowski,TE,TBB
9912,"Dickson, Ed",ed dickson,TE,FA
9918,"Sanders, Emmanuel",emmanuel sanders,WR,NOS
9921,"Roberts, Andre",andre roberts,WR,BUF
9925,"Graham, Jimmy",jimmy graham,TE,CHI
9988,"Brown, Antonio",antonio brown,WR,TBB
9992,"Webb, Joe",joe webb,QB,NYG
10077,"Ivory, Chris",chris ivory,RB,FA
10261,"Green, A.J.",aj green,WR,CIN
10262,"Gabbert, Blaine",blaine gabbert,QB,TBB
10271,"Jones, Julio",julio jones,WR,ATL
10273,"Newton, Cam",cam newton,QB,NEP
10276,"Ingram, Mark",mark ingram,RB,FA
10297,"Kaepernick, Colin",colin kaepernick,QB,FA
